name,url,price,rating,number of reviews,description,asin,manufacturer
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,169",3.9 out of 5 stars,684,not available,B01LXNNFDF,Visit the Urban Tribe Store
Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfYXRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,099",4.1 out of 5 stars,577," 
",B0B45SWK51,Visit the Lavie Sport Store
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-3,"1,199",4.1 out of 5 stars,"51,380",not available,B07CJCGM1M,Visit the American Tourister Store
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-4,565,4.3 out of 5 stars,"9,233",not available,B084JGJ8PF,Brand: Wesley
Skybags Brat Black 46 Cms Casual Backpack ,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-5,669,4.1 out of 5 stars,"3,373",not available,B08Z1HHHTD,Visit the Skybags Store
Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman ,https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C/ref=sxin_15_trfob_0_B097NH6X4C?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NH6X4C&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,399,4.2 out of 5 stars,7,not available,,not available
Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_15_trfob_1_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,399,4.0 out of 5 stars,4,not available,B08WWG91Q3,Visit the Blue Tree Store
Blue Tree 10 LTR Velvet School Backpack ,https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_15_trfob_2_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,288,4.0 out of 5 stars,"1,044",not available,B07HLYW3FF,Visit the Blue Tree Store
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_15_trfob_3_B09SB5DP5Y?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,295,4.3 out of 5 stars,46,not available,B09SB5DP5Y,not available
Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,https://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_6-Gym/dp/B084DQ182R/ref=sxin_15_trfob_4_B084DQ182R?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B084DQ182R&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,399,4.2 out of 5 stars,93," 
 From workout gear, fitness accessories and gym essentials, you have place for everything with the Solimo Polyester Duffel Gym Bag. This exercise companion is made of 100% polyester fabric that is water repellant. With a high-quality zipper performing 500 test cycles and a total of 19 individual product tests, this duffel gym bag is quality built. You have place for your gym towel, spare set of clothes, shoes, water bottle, protein shaker as well gym bands, grips and accessories. The Solimo Polyester Duffel Gym Bag is spaciously designed and comes in a stylish red colour. With a shoulder strap and haul handles you can decide on a convenient carrying option. A separate shoe compartment keeps your gym shoes away from other items in your bag. When your hands are full, a key compartment comes handy for easy access. This duffel gym bag is ideal for teenagers and adults, and is suited for gym and exercise activities, weekend getaways and light travels.  ",B084DQ182R,Brand: Amazon Brand - Solimo
blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow) ,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_15_trfob_5_B09H3H3898?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,539,4.0 out of 5 stars,61,not available,B09H3H3898,Visit the Blue Tree Store
blue tree 15 ltrs (38 Cms) backpack(INVALID DATA_red) ,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Red-Stawberry/dp/B089WFG3BK/ref=sxin_15_trfob_6_B089WFG3BK?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B089WFG3BK&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,579,4.0 out of 5 stars,218,not available,,not available
blue tree 10 ltrs (35 Cms) backpack(VS-Items-3_pink) ,https://www.amazon.in/Blue-Tree-Synthetic-Cartton-Minnie/dp/B07CXXYQ5X/ref=sxin_15_trfob_7_B07CXXYQ5X?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07CXXYQ5X&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=hmh1Z&pd_rd_wg=7D8m0&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,288,4.0 out of 5 stars,663,not available,,not available
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) ,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-6,288,3.9 out of 5 stars,463,not available,,not available
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping ",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-7,288,3.9 out of 5 stars,"2,191"," 
",B09B29F66W,Visit the Safari Store
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel ,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-8,499,4.3 out of 5 stars,"5,318"," 
 The product will be an excellent pick for you. It ensures an easy maintenance.  ",B07M9BRCQ5,Visit the FUR JADEN Store
DEIN KLEIDER Men's Nylon Messenger Bag ,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-9,699,4.0 out of 5 stars,"4,398",not available,B084ZHP97M,Visit the DEIN KLEIDER Store
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-10,889,4.1 out of 5 stars,"7,634",not available,,not available
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue) ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfbXRmOjIwMTA3NTYzMDUwOTk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,349,4.3 out of 5 stars,"7,644",not available,B08BYQZYYC,Visit the HEROZ Store
IRY 41.5 L Laptop Backpack Spacy Freeride Unisex Bag Office/School/College/Business ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfbXRmOjIwMTE2NTIwNjgwODk4OjowOjo&url=%2Fdp%2FB0BTPXTQYZ%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,349,3.9 out of 5 stars,712," 
 Laptop Backpack Spacy Freeride Unisex Bag Office/School/College/Business  ",B0BTPXTQYZ,Brand: IRY
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather ",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-13,"1,424",3.8 out of 5 stars,472,not available,,not available
Kuber Industries Women's Handkerchief Set (Cream) ,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=BZe9J&pd_rd_wg=7D8m0&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,599,3.9 out of 5 stars,"4,073",not available,B082VDVJGM,Visit the Kuber Industries Store
Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3) ,https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=BZe9J&pd_rd_wg=7D8m0&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,999,4.2 out of 5 stars,"1,412"," 
 Enrich your look with this handbag Fiesto Fashion available on Amazon. Fiesto Fashion offers handbags in every style, shape and color. It’s a perfect accessory for your outfits. Match it with pair of heels/sandals to give complete look.  ",B082Z33ZDS,Visit the Fiesto Fashion Store
ADISA women girls embroided sling bag ,https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=BZe9J&pd_rd_wg=7D8m0&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,"1,999",4.2 out of 5 stars,"3,601",not available,B08RWBP3H2,Visit the ADISA Store
Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle ,https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=11e8ea9c-82a2-44ac-99cf-429c7b9de23c&pd_rd_w=BZe9J&pd_rd_wg=7D8m0&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=YCHTZX6MZYPCVX95QGH0&qid=1675443282&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,312.,3.9 out of 5 stars,"2,129",not available,,not available
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-14,615,4.0 out of 5 stars,"5,549"," 
 This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.  ",B09VCLZ3K4,Brand: Half Moon
ADISA Light Weight Laptop Backpack 32 Ltrs ,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-15,495,4.0 out of 5 stars,"8,992",not available,B07F3X45WZ,Visit the ADISA Store
ADISA Laptop Backpack 31 Ltrs ,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-16,"1,039",3.9 out of 5 stars,675,not available,B07G3CG9FC,Visit the ADISA Store
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK) ",https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-17,"1,201",4.1 out of 5 stars,"4,862"," 
 Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.  ",B09B25Z8M2,Visit the Safari Store
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty ,https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-18,849,4.1 out of 5 stars,"7,634",not available,B08X2T2M8G,Visit the Bennett Store
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant) ",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-19,499,4.0 out of 5 stars,962,not available,B088XH1BP7,Brand: MI
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather ",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675443282&sprefix=ba%2Caps%2C283&sr=8-20,499,4.2 out of 5 stars,890," 
",B07QL8633G,Brand: AirCase
COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTUyNzQ4NTgwNzU4NDk3OjE2NzU0NDMyODI6c3BfYnRmOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443282%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,899,4.2 out of 5 stars,"2,166"," 
 Cosmus Agility - Must have for travel enthusiast tech savvy guys Cosmus bases on the cutting-edge of fashion trends, pursuing the best quality of bag category and devoting to providing the best product and service to customers. We make every effort to achieve the best in every detail of design, color, material, sewing, sales and service. Over the years we earned customer trust and this entrust us to provide high quality bags.  Backpack style Comfortable back strap system, easy and convenient to load on your back. Shoulder bag style One back pocket for hiding the back straps, A removable Shoulder strap been included, when you use it as a shoulder bag. Messenger bag style One back pocket for hiding the back straps when you use it as a messenger bag.  ",B07D1R1K84,Visit the COSMUS Store
"Arctic Hunter Laptop Bag,Casual Backpack 30L Large Capacity Laptop Bag with 15.6"" Laptop Pocket Water-resistant,Multi-pocket School Travel Business Bag with USB Charging Port for Men/Women,Black ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDEzNjU1OTc5MjA3NDcyOjE2NzU0NDMzNzI6c3BfYXRmX25leHQ6MjAxMTU4MjY5MzQ3OTg6OjA6Og&url=%2FBackpack-Capacity-Water-resistant-Multi-pocket-Business%2Fdp%2FB0B6FK9ZZG%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443372%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"2,849",4.5 out of 5 stars,,not available,B0B6FK9ZZG,Visit the ah arctic hunter Store
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue) ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDEzNjU1OTc5MjA3NDcyOjE2NzU0NDMzNzI6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443372%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,689,3.9 out of 5 stars,"4,91",not available,B085MHDJ93,Brand: Half Moon
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue) ,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675443372&sprefix=ba%2Caps%2C283&sr=8-19,689,3.9 out of 5 stars,"4,91",not available,B085MHDJ93,Brand: Half Moon
